"","zones","regions","Date","Population résidente par zone","Taux d'urbanisation","Repartition des ménages par zones","Taille des ménages"
"124","Urban","Kolda",2006,129426,NA,15471.4754429419,7.8
"125","Urban","Kolda",2007,134526,NA,15642.6006370157,7.8
"126","Urban","Kolda",2008,139827,NA,15801.7032131848,7.8
"127","Urban","Kolda",2009,145337,NA,15949.1770201251,7.8
"128","Urban","Kolda",2010,151064,NA,14760.7248669753,8.5
"129","Urban","Kolda",2011,157017,NA,14875.7571231367,8.5
"130","Urban","Kolda",2012,163205,NA,14644.4422179497,11.9882765749463
"131","Urban","Kolda",2013,169637,NA,22630,7.49611135660628
"132","Urban","Kolda",2014,180912,NA,24134.113194645,7.49611135660627
"133","Urban","Kolda",2015,190019,NA,25349.0097679162,7.49611135660627
"134","Urban","Kolda",2016,198839,NA,26525.6198235055,7.49611135660627
"135","Urban","Kolda",2017,208818,NA,27856.8433773292,7.49611135660628
"136","Urban","Kolda",2018,219268,NA,29250.8995089515,7.49611135660627
"137","Urban","Louga",2000,115454,NA,14965.6900963226,8.1
"138","Urban","Louga",2001,119865,NA,11331.8,10
"139","Urban","Louga",2002,124445,NA,13157,9.45846317549593
"140","Urban","Louga",2003,130236,NA,13583.816669755,9.66188762825925
"141","Urban","Louga",2004,135226,NA,14024.4793887296,9.69819758980243
"142","Urban","Louga",2005,140407,NA,14479.437326538,9.73308181259947
"143","Urban","Louga",2006,145787,NA,14949.1542239797,9.76656716839013
"144","Urban","Louga",2007,151373,NA,15434.1088657319,9.79866445759116
"145","Urban","Louga",2008,157173,NA,15934.7955683775,9.8294077100486
"146","Urban","Louga",2009,163195,NA,16451.7246842643,9.85881478321467
"147","Urban","Louga",2010,169448,NA,16985.4231217093,9.88691305458335
"148","Urban","Louga",2011,175941,NA,17536.4348820794,9.91372653161076
"149","Urban","Louga",2012,182682,NA,18105.3216142938,10.3815432834735
"150","Urban","Louga",2013,189682,NA,22031,10.147403721943
"151","Urban","Louga",2014,200417,NA,23277.8383135986,8.60977713222278
"152","Urban","Louga",2015,208836,NA,24255.6801172489,8.60977713222278
"153","Urban","Louga",2016,217573,NA,25270.4566748558,8.60977713222278
"154","Urban","Louga",2017,225660,NA,26209.7376661992,8.60977713222278
"155","Urban","Louga",2018,235030,NA,27298.0352906443,8.60977713222278
"156","Urban","Matam",2002,58284,NA,5998,9.71723907969323
"157","Urban","Matam",2003,63521,NA,8351.50096107056,7.8
"158","Urban","Matam",2004,67681,NA,8918.09079824069,7.8
"159","Urban","Matam",2005,72113,NA,9508.30489238256,7.8
"160","Urban","Matam",2006,76836,NA,10122.9752320794,7.8
"161","Urban","Matam",2007,81868,NA,10762.955816021,7.8
"162","Urban","Matam",2008,87229,NA,11429.1457196332,7.8
"163","Urban","Matam",2009,92941,NA,12122.4930254539,7.8
